task_id,Scrapping Round,hotel_name,hotel_country,hotel_province,hotel_city,url_gother_th,hotel_id_gother_th,Scrapping date,Booking Window,check_in,check_out,num_nights,occupancy_adults,occupancy_children,num_room,currency,provider,room_type,price_final,price_original,price_final_with_VAT,price_original_with_VAT,Notes
78010,0,the ritz carlton osaka,japan,osaka,osaka,https://www.gother.com/th-th/hotels/japan/osaka/osaka/the-ritz-carlton-osaka,6912,2026-02-06 00:00:00,90,2026-05-07 00:00:00,2026-05-08 00:00:00,1,2,0,1,THB,trip,à¸«à¹‰à¸­à¸‡à¸‹à¸¹à¸žà¸µà¹€à¸£à¸µà¸¢à¸£à¹Œ à¹€à¸•à¸µà¸¢à¸‡à¹€à¸”à¸µà¹ˆà¸¢à¸§ 2 à¹€à¸•à¸µà¸¢à¸‡,1022.94,1204,1204,1204,
82838,0,orbit guesthouse foreigners only,south-korea,seoul,mapo-gu,https://www.gother.com/th-th/hotels/south-korea/seoul/mapo-gu/orbit-guesthouse-foreigners-only,823939,2026-02-06 00:00:00,90,2026-05-07 00:00:00,2026-05-08 00:00:00,1,2,0,1,THB,gother,Not Available,0,,0,0,Room Not Available (Code 1A)
82816,0,g mini hotel dongdaemun,south-korea,seoul,seongdong-gu,https://www.gother.com/th-th/hotels/south-korea/seoul/seongdong-gu/g-mini-hotel-dongdaemun,627119,2026-02-06 00:00:00,90,2026-05-07 00:00:00,2026-05-08 00:00:00,1,2,0,1,THB,agoda,à¸«à¹‰à¸­à¸‡à¸žà¸±à¸à¹€à¸•à¸µà¸¢à¸‡à¹ƒà¸«à¸à¹ˆ (Double Room),1245,1879,1465.37,2211.58,
82828,0,yeongdeungpo stadium,south-korea,seoul,yeongdeungpo-gu,https://www.gother.com/th-th/hotels/south-korea/seoul/yeongdeungpo-gu/yeongdeungpo-stadium,853761,2026-02-06 00:00:00,90,2026-05-07 00:00:00,2026-05-08 00:00:00,1,2,0,1,THB,agoda,Not Available,0,,0,0,Room Not Available (Code 1A)
82834,0,orbit guesthouse foreigners only,south-korea,seoul,mapo-gu,https://www.gother.com/th-th/hotels/south-korea/seoul/mapo-gu/orbit-guesthouse-foreigners-only,823939,2026-02-06 00:00:00,90,2026-05-07 00:00:00,2026-05-08 00:00:00,1,2,0,1,THB,agoda,Not Available,0,,0,0,Room Not Available (Code 1A)
82814,0,grand walkerhill seoul,south-korea,seoul,gwangjin-gu,https://www.gother.com/th-th/hotels/south-korea/seoul/gwangjin-gu/grand-walkerhill-seoul,115985,2026-02-06 00:00:00,90,2026-05-07 00:00:00,2026-05-08 00:00:00,1,2,0,1,THB,gother,Club Deluxe Mountain View Double Room - Club Lounge Breakfast Included For 2,7013,9477,8254.3,11154.43,
82798,0,hotel skypark myeongdong iii,south-korea,seoul,myeongdong,https://www.gother.com/th-th/hotels/south-korea/seoul/myeongdong/hotel-skypark-myeongdong-iii,68316,2026-02-06 00:00:00,90,2026-05-07 00:00:00,2026-05-08 00:00:00,1,2,0,1,THB,agoda,à¸ˆà¸­à¸‡à¹€à¸›à¹‡à¸™à¹à¸žà¹‡à¸ à¸›à¸£à¸°à¸«à¸¢à¸±à¸”à¸à¸§à¹ˆà¸²!à¸•à¸±à¹‹à¸§à¹€à¸„à¸£à¸·à¹ˆà¸­à¸‡à¸šà¸´à¸™ + à¸—à¸µà¹ˆà¸žà¸±à¸,2853,2853,3357.98,3357.98,
82824,0,arirang hill hotel dongdamun,south-korea,seoul,seongbuk-gu,https://www.gother.com/th-th/hotels/south-korea/seoul/seongbuk-gu/arirang-hill-hotel-dongdaemun,665508,2026-02-06 00:00:00,90,2026-05-07 00:00:00,2026-05-08 00:00:00,1,2,0,1,THB,trip,à¸«à¹‰à¸­à¸‡à¸‹à¸¹à¸žà¸µà¹€à¸£à¸µà¸¢à¸£à¹Œ à¹€à¸•à¸µà¸¢à¸‡à¹€à¸”à¸µà¹ˆà¸¢à¸§ 2 à¹€à¸•à¸µà¸¢à¸‡,2398.47,6180,2823,6180,
82802,0,hotel skypark myeongdong iii,south-korea,seoul,myeongdong,https://www.gother.com/th-th/hotels/south-korea/seoul/myeongdong/hotel-skypark-myeongdong-iii,68316,2026-02-06 00:00:00,90,2026-05-07 00:00:00,2026-05-08 00:00:00,1,2,0,1,THB,gother,Standard Twin 2 Single Beds-Non-Refundable-1 Schedule Change Possible,3060,3558,3601.62,4187.77,
82826,0,arirang hill hotel dongdamun,south-korea,seoul,seongbuk-gu,https://www.gother.com/th-th/hotels/south-korea/seoul/seongbuk-gu/arirang-hill-hotel-dongdaemun,665508,2026-02-06 00:00:00,90,2026-05-07 00:00:00,2026-05-08 00:00:00,1,2,0,1,THB,gother,"Ondol Double With 1 Double Bed, No Carpet",2762,3733,3250.87,4393.74,
82800,0,hotel skypark myeongdong iii,south-korea,seoul,myeongdong,https://www.gother.com/th-th/hotels/south-korea/seoul/myeongdong/hotel-skypark-myeongdong-iii,68316,2026-02-06 00:00:00,90,2026-05-07 00:00:00,2026-05-08 00:00:00,1,2,0,1,THB,trip,à¸«à¹‰à¸­à¸‡à¸ªà¹à¸•à¸™à¸”à¸²à¸£à¹Œà¸”à¹€à¸•à¸µà¸¢à¸‡à¹ƒà¸«à¸à¹ˆ [à¹€à¸›à¸¥à¸µà¹ˆà¸¢à¸™à¸•à¸²à¸£à¸²à¸‡à¹€à¸§à¸¥à¸²à¹„à¸”à¹‰ 1 à¸„à¸£à¸±à¹‰à¸‡],2767.2,4656,3257,4656,
82770,0,lumia hotel myeongdong,south-korea,seoul,gangnam-gu,https://www.gother.com/th-th/hotels/south-korea/seoul/gangnam-gu/lumia-hotel-myeongdong,639407,2026-02-06 00:00:00,90,2026-05-07 00:00:00,2026-05-08 00:00:00,1,2,0,1,THB,trip,à¸«à¹‰à¸­à¸‡à¸ªà¹à¸•à¸™à¸”à¸²à¸£à¹Œà¸” à¹€à¸•à¸µà¸¢à¸‡à¹à¸à¸”,2090.91,3201,2461,3201,
82482,0,hotel homers,south-korea,busan,suyeong-gu,https://www.gother.com/th-th/hotels/south-korea/busan/suyeong-gu/hotel-homers,73962,2026-02-06 00:00:00,90,2026-05-07 00:00:00,2026-05-08 00:00:00,1,2,0,1,THB,trip,à¸«à¹‰à¸­à¸‡à¸žà¸±à¸à¸‚à¸±à¹‰à¸™à¸žà¸·à¹‰à¸™à¸à¸²à¸™à¸žà¸£à¹‰à¸­à¸¡à¸«à¹‰à¸­à¸‡à¸™à¹‰à¸³à¸ªà¹ˆà¸§à¸™à¸à¸¥à¸²à¸‡,186.92,220,220,220,Warning: Price Below THB500
82042,0,shanghai jiejia hotel,china,shanghai,pudong-int-l-airport-and-new-district,https://www.gother.com/th-th/hotels/china/shanghai/pudong-int-l-airport-and-new-district/shanghai-jiejia-hotel,896532,2026-02-06 00:00:00,90,2026-05-07 00:00:00,2026-05-08 00:00:00,1,2,0,1,THB,agoda,à¸ˆà¸­à¸‡à¹€à¸›à¹‡à¸™à¹à¸žà¹‡à¸ à¸›à¸£à¸°à¸«à¸¢à¸±à¸”à¸à¸§à¹ˆà¸²!à¸•à¸±à¹‹à¸§à¹€à¸„à¸£à¸·à¹ˆà¸­à¸‡à¸šà¸´à¸™ + à¸—à¸µà¹ˆà¸žà¸±à¸,496,496,583.79,583.79,Warning: Price Below THB500
82004,0,bo ai international hotel at pudong airport shanghai,china,shanghai,pudong-int-l-airport-and-new-district,https://www.gother.com/th-th/hotels/china/shanghai/pudong-int-l-airport-and-new-district/bo-ai-international-hotel-at-pudong-airport-shanghai,896512,2026-02-06 00:00:00,90,2026-05-07 00:00:00,2026-05-08 00:00:00,1,2,0,1,THB,gother,Deluxe Twin,462,531,543.77,624.99,Warning: Price Below THB500
v2,1,ramada hong kong grand,hong-kong,kowloon,yau-tsim-mong,https://www.gother.com/th-th/hotels/hong-kong/hong-kong/hong-kong-island-west/ramada-hong-kong-harbour-view,142,2026-02-06 00:00:00,14,2026-02-20 00:00:00,2026-02-21 00:00:00,1,2,0,1,THB,agoda,à¸«à¹‰à¸­à¸‡à¸žà¸±à¸à¸§à¸´à¸§à¸—à¹ˆà¸²à¹€à¸£à¸·à¸­ à¸­à¸²à¸„à¸²à¸£à¸—à¸²à¸§à¹€à¸§à¸­à¸£à¹Œ,9290.23,14217.53,10525.83,14217.53,
