No,HID,Hotel-Name,UPDATE URL 15 JAN,SLUG,Supplier-or-Direct,Country,SEARCH
190,1022,Asia-Airport-Donmuang-Hotel,www.gother.com/th-th/hotels/thailand/bangkok/asoke/asia-airport-hotel,thailand/pathum-thani/lam-luk-ka/asia-airport-donmuang-hotel,DIRECT,thailand,#N/A
364,772485,Arden-Hotel-&-Residence-Pattaya,www.gother.com/th-th/hotels/thailand/chonburi/central-pattaya/arden-hotel-residence-pattaya,thailand/chonburi/central-pattaya/arden-hotel-residence-pattaya,DIRECT,thailand,#N/A
452,188222,the-legacy-hotel-nana-sukhumvit-aspira-collection,www.gother.com/th-th/hotels/thailand/bangkok/watthana/the-legacy-hotel-nana-sukhumvit-aspira-collection,thailand/bangkok/watthana/legacy-hotel-bangkok-sukhumvit,DIRECT,thailand,#N/A
455,841755,Bangkok-Patio,www.gother.com/th-th/hotels/thailand/bangkok/phaya-thai/bangkok-patio,thailand/bangkok/phaya-thai/bangkok-patio,DIRECT,thailand,#N/A
512,1114912,La-Casa-Bangtao-Resort,www.gother.com/th-th/hotels/thailand/phuket/cherngtalay/la-casa-bangtao-resort,thailand/phuket/cherngtalay/la-casa-bangtao-resort,DIRECT,thailand,#N/A
547,324480,Ploen-Chaweng-by-Tolani,www.gother.com/th-th/hotels/thailand/surat-thani/koh-samui/ploen-chaweng-koh-samui-hotel,thailand/surat-thani/koh-samui/ploen-chaweng-koh-samui-hotel,DIRECT,thailand,#N/A
551,4081,Sawaddi-Patong-Resort-&-Spa-by-Tolani,www.gother.com/th-th/hotels/thailand/phuket/patong/sawaddi-patong-resort-spa-by-tolani,thailand/phuket/patong/sawaddi-patong-resort-spa-by-tolani,DIRECT,thailand,#N/A
613,4672,The-Sea-Koh-Samui-Beachfront-Resort-&-Spa,www.gother.com/th-th/hotels/thailand/surat-thani/koh-samui/the-sea-koh-samui-resort-and-residence-by-tolani,/thailand/surat-thani/koh-samui/the-sea-koh-samui-resort-and-residence-by-tolani,DIRECT,thailand,#N/A
713,324868,the-xcape-river-kwai,www.gother.com/th-th/hotels/thailand/kanchanaburi/muang-kanchanaburi/the-xcape-river-kwai,thailand/kanchanaburi/muang-kanchanaburi/cross-river-kwai-formerly-x2-river-kwai,Supplier,thailand,#N/A
1102,451829,Classic-Kameo-Hotel-Rayong,www.gother.com/th-th/hotels/thailand/rayong/muang-rayong/classic-kameo-hotel-rayong,thailand/rayong/muang-rayong/classic-kameo-hotel-rayong,DIRECT,thailand,#N/A
